,ScoutId,MatchKey,Alliance,DriverStation,TeamNumber,Preloaded,AutoGrid,AutoMissed,Mobile,AutoAttemptedCharge,AutoChargingState,AutoNotes,TeleopGrid,TeleopMissed,TeleopNotes,EndgameAttemptedCharge,EndgameFinalCharge,EndgameChargeTime,EndgameNotes,Disable,Tippy,DefenseTime,DefenseRating,DriverRating,RatingNotes
102,Owen and alexander,qm24,red,3,5804,false,,0.0,0.0,,None, | ,1Lcube|2Lcube|2M|3Lcube|4Lcube|8M|9Lcube,0.0, | ,Engage,Engage,, | ,0.0,0.5,10.0,0.5,4.0, | Very fast cycles| waited for teammates before attempting to score points
103,Saragha and sarah,qm25,blue,2,1086,true,5M,0.0,1.0,Engage,None, | ,4Lcube|4M|5Lcone|6Lcone|6M,0.5, | ,Engage,Engage,, | ,0.0,1.0,0.0,0.0,2.5, | 
104,Suhani and Sophia T,qm25,blue,3,1418,true,9H,0.0,1.0,,None, | ,2H|3H|4H|5H,0.0, | ,Engage,Engage,9.75, | ,0.0,0.0,0.0,0.0,0.0, | 
105,Rachel and Blen Shiferaw,qm25,blue,,5115,true,1H,0.0,1.0,,, | ,6H|7H|8M|8H,0.0, | ,,Park,, | ,0.0,1.0,0.0,0.0,1.0, | 
106,Adrian Sun and Shashwat,qm25,red,2,1599,false,5H,0.0,1.0,Engage,Dock, | ,1M|4M|4H|7M,0.0, | ,,Park,, | ,0.0,0.0,0.0,0.0,1.5, | 
107,alexander and Owen,qm25,red,3,5338,true,9H,0.0,1.0,,Engage, | ,1H|2H|8H,0.0,Got stuck on loading station for a while | ,Engage,Engage,, | Really slow and got stuck,0.0,0.0,10.0,0.5,1.5, | 
108,Aran and Amogh,qm25,red,,5724,true,,0.5,1.0,,None, | ,1H|3H|7H,0.5, | ,Engage,Engage,, | ,0.0,0.0,0.0,0.0,1.5, | 
109,Rachel and Blen Shiferaw,qm26,blue,,122,true,,1.0,0.0,Engage,Engage, | ,1H|6H|7H|9Lcone|9H,1.0, | consistently missed comes from double substation ,Engage,Engage,4.1, | ,0.0,0.0,0.0,0.0,0.0, | 
110,Owen,qm26,blue,,472,false,,1.0,0.0,,,,1Lcone|2Lcube|3Lcube|4Lcube|6Lcube,1.0,,,None,,,0.0,0.0,20.0,1.0,2.0,
111,sarah,qm26,blue,2,2068,true,2H,0.0,1.0,,None,,1H,0.0,,,Park,,,1.0,0.0,0.0,0.0,2.0,
