,ScoutId,MatchKey,Alliance,DriverStation,TeamNumber,Preloaded,AutoGrid,AutoMissed,Mobile,AutoAttemptedCharge,AutoChargingState,AutoNotes,TeleopGrid,TeleopMissed,TeleopNotes,EndgameAttemptedCharge,EndgameFinalCharge,FinalChargeTime,EndgameNotes,Disable,Tippy,DefenseTime,DefenseRating,DriverRating,RatingNotes
47,Shashwat,qm106,blue,2,1538,true,7Lcone|8H|9H,0.0,1.0,None,None,,3Lcone|4Lcube|4M|4H|6M|6H,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,0.0,
48,paul and Rachel,qm106,blue,3,3538,false,1Lcone|3Lcube,0.0,1.0,None,None, | ,1M|1H|2M|2H|3M|3H,0.5, | ,Engage,Engage,, | ,0.0,0.5,0.0,0.0,3.5, | 
49,Nikhil,qm106,blue,1,3572,true,2H,0.0,1.0,None,None,,1Lcone|1M|1H|2M|3Lcone|3M|3H,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,5.0,
50,alexander,qm106,red,3,5804,true,4H,0.0,1.0,Engage,Engage,,,0.0,Tipped over,None,,,,0.0,1.0,0.0,0.0,2.0,
51,Chris,qm106,red,1,6817,true,8Lcube,0.0,1.0,None,,,,0.0,,None,,,,0.0,0.0,100.0,1.0,0.0,
52,Blen,qm106,red,2,9126,true,2H,0.0,1.0,None,,,8Lcube|8M|8H|8H|7Lcube|2M,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,0.0,
53,sarah,qm107,blue,3,1746,true,2Lcube|2H,1.0,1.0,None,None,,1H|3H|4H|6H|7H,1.0,,Engage,Dock,,,0.0,0.0,0.0,0.0,0.0,
54,Nikhil,qm107,blue,1,6431,true,,0.0,1.0,None,None,,6H|7H,0.0,,Engage,Dock,,,1.0,0.0,0.0,0.0,3.0,
55,Shashwat,qm107,blue,2,8717,false,5H,0.0,1.0,None,Dock,,1Lcube|2Lcube|5M,0.0,,Engage,None,,,0.0,0.0,0.0,0.0,2.0,
56,alexander,qm107,red,3,4069,true,2H,1.0,1.0,None,None,,9M|9H|6H|5M|4H,0.0,,Engage,Engage,,Triple Engage,0.0,0.0,0.0,0.0,0.0,
57,Chris,qm107,red,1,5006,true,,1.0,0.0,Engage,Dock,,5H|4Lcone|3H|1H,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,0.0,
58,Blen,qm107,red,2,7285,true,8Lcone|8M,0.0,1.0,None,,,8Lcube|8H|7M|7H|6M|4M|3Lcone,1.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,4.0,
59,Nikhil,qm108,blue,1,3003,true,,1.0,1.0,Engage,Dock,,6H|7Lcone|7H|8H|9M,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,4.0,
60,Rachel,qm108,blue,3,4944,true,9H,0.0,1.0,None,None,,1M|1H|2M|2H|3M|4H,0.0,,Engage,Engage,5,,0.0,0.0,0.0,0.0,3.0,
61,Shashwat,qm108,blue,2,6657,false,2H|8Lcube,0.0,1.0,None,None,,1Lcube|3Lcube|8Lcube,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,0.0,
62,Aanshi,qm108,red,1,955,true,6H,0.0,1.0,Engage,Dock,,5Lcube|5H|3M|2M|1M|1H,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,4.0,
63,alexander,qm108,red,3,3218,true,9H,1.0,1.0,None,None,,9Lcube|9M|8M|8H|7Lcube|6Lcube|4H,0.0,,Engage,Engage,,Triple Engage,0.0,0.0,0.0,0.0,4.0,
